title,speaker,url,month,year
How fast is the speed of thought?,Seena Mathew,/talks/seena_mathew_how_fast_is_the_speed_of_thought?language=en,Nov,2020
How India could pull off the world's most ambitious energy transition,Varun Sivaram,/talks/varun_sivaram_how_india_could_pull_off_the_world_s_most_ambitious_energy_transition?language=en,Nov,2020
How working couples can best support each other,Jennifer Petriglieri,/talks/jennifer_petriglieri_how_working_couples_can_best_support_each_other?language=en,Nov,2020
How the new generation of Latinx voters could change US elections,María Teresa Kumar,/talks/maria_teresa_kumar_how_the_new_generation_of_latinx_voters_could_change_us_elections?language=en,Nov,2020
"To future generations of women, you are the roots of change",Gloria Steinem,/talks/gloria_steinem_to_future_generations_of_women_you_are_the_roots_of_change?language=en,Nov,2020
Why do you get a fever when you're sick?,Christian Moro,/talks/christian_moro_why_do_you_get_a_fever_when_you_re_sick?language=en,Nov,2020
How to be fearless in the face of authoritarianism,Sviatlana Tsikhanouskaya,/talks/sviatlana_tsikhanouskaya_how_to_be_fearless_in_the_face_of_authoritarianism?language=en,Nov,2020
How do investors choose stocks?,Richard Coffin,/talks/richard_coffin_how_do_investors_choose_stocks?language=en,Nov,2020
"To save the climate, we have to reimagine capitalism",Rebecca Henderson,/talks/rebecca_henderson_to_save_the_climate_we_have_to_reimagine_capitalism?language=en,Nov,2020
"Theranos, whistleblowing and speaking truth to power",Erika Cheung,/talks/erika_cheung_theranos_whistleblowing_and_speaking_truth_to_power?language=en,Nov,2020
How do steroids affect your muscles— and the rest of your body?,Anees Bahji,/talks/anees_bahji_how_do_steroids_affect_your_muscles_and_the_rest_of_your_body?language=en,Nov,2020
The energy Africa needs to develop — and fight climate change,Rose M. Mutiso,/talks/rose_m_mutiso_the_energy_africa_needs_to_develop_and_fight_climate_change?language=en,Nov,2020
How we can use the hiring process to bring out the best in people,Gil Winch,/talks/gil_winch_how_we_can_use_the_hiring_process_to_bring_out_the_best_in_people?language=en,Nov,2020
I stepped out of grief — by dancing with fire,Danielle Torley,/talks/danielle_torley_i_stepped_out_of_grief_by_dancing_with_fire?language=en,Nov,2020
Do larger animals take longer to pee?,David L. Hu,/talks/david_l_hu_do_larger_animals_take_longer_to_pee?language=en,Nov,2020
Lessons on leaving the world better than you found it,Sophie Howe,/talks/sophie_howe_lessons_on_leaving_the_world_better_than_you_found_it?language=en,Nov,2020
24 hours on Earth — in one image,Stephen Wilkes,/talks/stephen_wilkes_24_hours_on_earth_in_one_image?language=en,Nov,2020
The dark history of bananas,John Soluri,/talks/john_soluri_the_dark_history_of_bananas?language=en,Nov,2020
The radical act of choosing common ground,Nisha Anand,/talks/nisha_anand_the_radical_act_of_choosing_common_ground_nov_2020?language=en,Nov,2020
How your unique story can get you hired,Aimée Eubanks Davis,/talks/aimee_eubanks_davis_how_your_unique_story_can_get_you_hired?language=en,Nov,2020
